"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","HardwareVersion","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","CreateDate","SEVEnabled","BootDelayMillisecond","MigrationEncryption","MemoryHotAddEnabled","MemoryHotAddIncrement","MemoryHotAddLimit","CpuHotAddEnabled","CpuHotRemoveEnabled","ExtensionData","CustomFields","Id","Uid"
"GISWeb_CDP","PoweredOff","Last backup: [6/10/2025 12:12:21 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod 12 am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","GISWeb_CDP:Microsoft Windows 10 (64-bit)","2","1","8192","8","HostSystem-host-20201","lc2psv-esxi8.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v11","vmx-11","50324445-4c18-01de-c772-60dd71229c34","windows9_64Guest","53.430046536028385162353515625","222.29320950899273157119750976","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-263052","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-263052/"
"LCFSPS02 SharePoint External Frontend Node 1 Server_CDP","PoweredOff","Enterprise
ITG Contact- Armando Negron
Last backup: [6/10/2025 3:32:06 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFSPS02 SharePoint External Frontend Node 1 Server_CDP:Microsoft Windows Server 2012 (64-bit)","24","8","32768","32","HostSystem-host-20201","lc2psv-esxi8.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:High/48000 MemShares:Normal/327680","v11","vmx-11","5032ca28-f5a7-2fd3-1b52-aac2fe14462d","windows8Server64Guest","341.50779428705573081970214844","624.39611418079584836959838867","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-211474","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-211474/"
"NPS_replica","PoweredOff","Last backup: [6/9/2025 3:08:15 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","NPS_replica:Microsoft Windows 10 (64-bit)","2","1","4096","4","HostSystem-host-1578","lc2psv-esxi2.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v11","vmx-11","50322a6c-e128-96c3-2738-1abf7a36647d","windows9_64Guest","61.19654615223407745361328125","146.06065392401069402694702148","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-269966","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-269966/"
"LCFRSS05 SQLVS5 SQL Reporting Services Server_CDP","PoweredOff","Enterprise
ITG Contact- John Wood\Scott Lewin
Last backup: [6/8/2025 3:58:51 PM]; Veeam server: [LC2PVM-VEEAM]; Job: [EOC Catch All Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFRSS05 SQLVS5 SQL Reporting Services Server_CDP:Microsoft Windows Server 2008 R2 (64-bit)","1","1","2048","2","HostSystem-host-20198","lc2psv-esxi7.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v11","vmx-11","503242b4-6cd7-e89c-7e45-0afe17c41cf1","windows7Server64Guest","39.714859412051737308502197266","92.61701777763664722442626953","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-330782","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-330782/"
"LCFINO07 - Polaris Reporting Server_CDP","PoweredOff","This SQL 2019 Server replaces LCFINO03 as the production Polaris reporting server.
Last backup: [6/10/2025 3:23:35 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFINO07 - Polaris Reporting Server_CDP:Microsoft Windows Server 2016 (64-bit)","2","1","16384","16","HostSystem-host-20198","lc2psv-esxi7.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/163840","v11","vmx-11","503200d6-06c4-8b9a-38ba-6e44cb9a5d23","windows9Server64Guest","266.54396256338804960250854492","528.38712945021688938140869140","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-211467","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-211467/"
"LCFWBC02 Facilities Web Controls_CDP","PoweredOff","Last backup: [6/10/2025 12:04:17 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod 12 am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFWBC02 Facilities Web Controls_CDP:Microsoft Windows Server 2016 (64-bit)","2","1","12288","12","HostSystem-host-1583","lc2psv-esxi3.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/122880","v11","vmx-11","5032d003-639c-15c4-372d-e1a0af279947","windows9Server64Guest","98.53632589522749185562133789","211.40044855047017335891723633","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-277213","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-277213/"
"LCFSCCM01 SCCM Server_replica","PoweredOff","Last backup: [6/9/2025 3:22:57 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFSCCM01 SCCM Server_replica:Microsoft Windows Server 2016 (64-bit)","16","4","32768","32","HostSystem-host-2254","lc2psv-esxi1.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/16000 MemShares:Normal/327680","v11","vmx-11","50326a79-9c9c-3ff6-24d9-827618975518","windows9Server64Guest","376.07061392720788717269897461","1008.9393069222569465637207031","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-15015","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-15015/"
"LC1PVM-GISP24 ArcGIS Portal_CDP","PoweredOff","Last backup: [6/10/2025 12:04:05 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod 12 am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LC1PVM-GISP24 ArcGIS Portal_CDP:Microsoft Windows Server 2016 (64-bit)","4","2","12288","12","HostSystem-host-8716","lc2psv-esxi5.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v14","vmx-14","50328a6d-fcf2-e220-7190-f7ba119b2962","windows9Server64Guest","142.84213595464825630187988281","255.71018876228481531143188476","System.String[]","10/31/2023 7:31:47 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-211500","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-211500/"
"LCFSPS01 SharePoint Internal Frontend Server_replica","PoweredOff","Enterprise
ITG Contact- Armando Negron
Last backup: [5/19/2025 12:03:55 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod 12 am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFSPS01 SharePoint Internal Frontend Server_replica:Microsoft Windows Server 2012 (64-bit)","16","8","32768","32","HostSystem-host-2254","lc2psv-esxi1.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:High/32000 MemShares:Normal/327680","v11","vmx-11","5032a82b-fc4c-e2cb-a5fb-74d2380dbace","windows8Server64Guest","768.08227338083088397979736328","1050.9548617554828524589538574","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-279576","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-279576/"
"CADVeeamP3_replica","PoweredOff","Last backup: [7/10/2024 1:44:14 PM]; Veeam server: [Veeam]; Job: [LC1PVM Missing Tag Catch All Backup]; Repository: [veeamproxy02.lee-county-fl.gov]","CADVeeamP3_replica:Microsoft Windows 10 (64-bit)","2","1","4096","4","HostSystem-host-2254","lc2psv-esxi1.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v14","vmx-14","50326efe-1020-4610-c459-31d5200ae4b3","windows9_64Guest","12.695849460549652576446533203","97.55995541997253894805908203","System.String[]","8/2/2022 8:32:35 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-330476","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-330476/"
"PolarisSIP_CDP","PoweredOff","Last backup: [6/4/2025 3:06:38 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","PolarisSIP_CDP:Microsoft Windows 10 (64-bit)","4","2","8192","8","HostSystem-host-20198","lc2psv-esxi7.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v11","vmx-11","50328708-8911-d557-8857-73e2b42b4d03","windows9_64Guest","0.0002604015171527862548828125","228.86927178222686052322387695","System.String[]","6/27/2022 6:44:02 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-211469","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-211469/"
"TransVaultSQL_replica","PoweredOff","Last backup: [3/9/2025 10:39:14 PM]; Veeam server: [LC2PVM-VEEAM]; Job: [EOC Catch All Backup]; Repository: [veeamproxy02.lee-county-fl.gov]","TransVaultSQL_replica:Microsoft Windows 10 (64-bit)","8","8","65536","64","HostSystem-host-1583","lc2psv-esxi3.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:High/16000 MemShares:Normal/655360","v11","vmx-11","5032fd87-1af2-740d-93de-8879a35c2167","windows9_64Guest","730.10085416119545698165893555","2114.9728512782603502273559570","System.String[]","4/17/2023 4:16:10 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-25784","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-25784/"
"VeeamO365_CDP","PoweredOff","Last backup: [6/4/2025 3:02:57 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","VeeamO365_CDP:Microsoft Windows Server 2016 (64-bit)","12","4","24576","24","HostSystem-host-8716","lc2psv-esxi5.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/12000 MemShares:Normal/245760","v11","vmx-11","50323c4b-c1f6-2b5a-8cf7-c79ff7c473b6","windows9Server64Guest","272.89031477365642786026000977","597.77408318594098091125488282","System.String[]","6/10/2022 6:58:15 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-211519","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-211519/"
